"date","load"
2011-01-01,5084.94483992424
2011-01-02,5082.64935605878
2011-01-03,5157.12979995461
2011-01-04,5168.51198400758
2011-01-05,5075.01836451156
2011-01-06,5086.76228227145
2011-01-07,5057.78011334377
2011-01-08,5061.46670492227
2011-01-09,4922.29528290801
2011-01-10,4878.02446109258
2011-01-11,4960.06340194016
2011-01-12,4954.38230239435
2011-01-13,5003.34491439697
2011-01-14,5021.91767872997
2011-01-15,5010.66370103221
2011-01-16,4876.47126337336
2011-01-17,4837.23365513973
2011-01-18,4902.87327144921
2011-01-19,4905.86648929646
2011-01-20,4977.8594593487
2011-01-21,5009.06978267579
2011-01-22,4988.20068545435
2011-01-23,4892.21395874373
2011-01-24,4851.8534161993
2011-01-25,4862.55336320315
2011-01-26,4844.94781512008
2011-01-27,4926.90432452063
2011-01-28,4965.94921652432
2011-01-29,4943.869257993
2011-01-30,4884.21747913655
2011-01-31,4820.48800415073
2011-02-01,4762.21991820934
2011-02-02,4712.12426886019
2011-02-03,4791.22672592666
2011-02-04,4846.97176339328
2011-02-05,4821.80814966707
2011-02-06,4771.61182803301
2011-02-07,4660.75198162805
2011-02-08,4557.14461486284
2011-02-09,4488.81873745793
2011-02-10,4557.14679106354
2011-02-11,4632.42709960095
2011-02-12,4592.16963586063
2011-02-13,4508.54494906844
2011-02-14,4327.25753008589
2011-02-15,4222.87201824595
2011-02-16,4176.28845823501
2011-02-17,4248.43067840742
2011-02-18,4338.69982958043
2011-02-19,4283.05223245591
2011-02-20,4215.83315635794
2011-02-21,3939.32019172624
2011-02-22,3808.24432921256
2011-02-23,3815.71666017811
2011-02-24,3903.24240573956
2011-02-25,3974.67612469246
2011-02-26,3931.4612162792
2011-02-27,3932.74585346362
2011-02-28,3640.06868717091
