"date","load"
2011-01-01,4548.10126561917
2011-01-02,4794.11907725715
2011-01-03,4764.79329714544
2011-01-04,4650.50685557078
2011-01-05,4619.73543291179
2011-01-06,4630.81565496505
2011-01-07,4627.82341122787
2011-01-08,4766.62064557982
2011-01-09,4943.62088566691
2011-01-10,4969.62751581686
2011-01-11,4834.79857444737
2011-01-12,4823.44937163092
2011-01-13,4835.72393372577
2011-01-14,4842.69595840048
2011-01-15,4991.91268332295
2011-01-16,5183.33055841905
2011-01-17,5213.90511003468
2011-01-18,5075.21988743026
2011-01-19,5064.30346937612
2011-01-20,5076.99251028608
2011-01-21,5082.50837122395
2011-01-22,5235.73395995757
2011-01-23,5431.273680265
2011-01-24,5456.3562182185
2011-01-25,5302.76934549398
2011-01-26,5281.27496888287
2011-01-27,5282.75558586759
2011-01-28,5275.13730636507
2011-01-29,5418.82719854118
2011-01-30,5603.72665442309
2011-01-31,5610.57001781582
2011-02-01,5432.81194543081
2011-02-02,5389.83088786502
2011-02-03,5369.29311324305
2011-02-04,5338.58662758138
2011-02-05,5459.59083692707
2011-02-06,5619.93950948513
2011-02-07,5600.29729839009
2011-02-08,5396.84526910822
2011-02-09,5328.14554513564
2011-02-10,5281.91028735019
2011-02-11,5226.04891155254
2011-02-12,5318.55695278374
2011-02-13,5448.5133730421
2011-02-14,5403.91922424575
2011-02-15,5183.70275687587
2011-02-16,5094.96627926124
2011-02-17,5029.15856922354
2011-02-18,4955.65832112747
2011-02-19,5023.88341976222
2011-02-20,5127.96219662881
2011-02-21,5068.83198892205
2011-02-22,4847.18497857319
2011-02-23,4750.78552391473
2011-02-24,4677.59964309624
2011-02-25,4599.02102657021
2011-02-26,4653.45133932557
2011-02-27,4742.29601355054
2011-02-28,4681.62680991353
