"date","load"
2011-01-01,5628.11076680568
2011-01-02,6061.34750980501
2011-01-03,6186.00022026004
2011-01-04,6150.55207349065
2011-01-05,6194.78592015217
2011-01-06,6200.73671456605
2011-01-07,6351.46815015138
2011-01-08,6612.12737713377
2011-01-09,6621.49694442951
2011-01-10,6432.13041178332
2011-01-11,6380.73759845149
2011-01-12,6411.75322250359
2011-01-13,6402.80825796962
2011-01-14,6542.77850839177
2011-01-15,6794.78273685984
2011-01-16,6787.71211673287
2011-01-17,6577.22612170068
2011-01-18,6508.31548384977
2011-01-19,6523.40933232791
2011-01-20,6497.70604946813
2011-01-21,6622.72021357811
2011-01-22,6860.07041095131
2011-01-23,6835.19174196272
2011-01-24,6606.03896410888
2011-01-25,6519.82760708569
2011-01-26,6517.94511459383
2011-01-27,6475.38186690509
2011-01-28,6582.83544540405
2011-01-29,6801.10917136805
2011-01-30,6758.97863080884
2011-01-31,6515.63297767241
2011-02-01,6414.2207889287
2011-02-02,6396.15945963786
2011-02-03,6338.47101647972
2011-02-04,6427.67148101173
2011-02-05,6624.51703508788
2011-02-06,6567.54163305587
2011-02-07,6315.97436674868
2011-02-08,6203.05357316264
2011-02-09,6171.28871774876
2011-02-10,6101.74817544392
2011-02-11,6173.8489747323
2011-02-12,6349.06237017892
2011-02-13,6281.05827751063
2011-02-14,6027.92168729849
2011-02-15,5908.17981835975
2011-02-16,5866.37273245384
2011-02-17,5789.21061946486
2011-02-18,5846.80984870811
2011-02-19,6002.02769913311
2011-02-20,5927.5480133124
2011-02-21,5679.27619108437
2011-02-22,5557.66438151916
2011-02-23,5510.00973230203
2011-02-24,5429.72440017997
2011-02-25,5476.27769417869
2011-02-26,5614.42840662129
2011-02-27,5538.05583458519
2011-02-28,5300.10123488279
