"date","load"
2011-01-01,4231.21521291893
2011-01-02,3808.45990675315
2011-01-03,3665.82914497014
2011-01-04,3233.09773964998
2011-01-05,3500.99106436503
2011-01-06,3956.44040012504
2011-01-07,3894.29606184279
2011-01-08,3818.62400825894
2011-01-09,3655.29253805261
2011-01-10,3724.72827470875
2011-01-11,3536.20918342178
2011-01-12,3577.70616797775
2011-01-13,3693.58939974078
2011-01-14,4220.27883928645
2011-01-15,4286.02397527281
2011-01-16,4194.13732368598
2011-01-17,4499.78764007349
2011-01-18,4157.86492245115
2011-01-19,3938.36804004542
2011-01-20,3797.03952937062
2011-01-21,4306.30688754333
2011-01-22,4176.12296530273
2011-01-23,4218.02523882344
2011-01-24,4393.11056510043
2011-01-25,4132.35073691354
2011-01-26,3858.81373945338
2011-01-27,3614.76118620869
2011-01-28,4122.0026494148
2011-01-29,4218.8049144243
2011-01-30,4038.97222699889
2011-01-31,4292.4936850289
2011-02-01,4178.64771242265
2011-02-02,4195.13265344842
2011-02-03,3769.01835708479
2011-02-04,4108.57875906571
2011-02-05,3693.30255963087
2011-02-06,3473.82125042428
2011-02-07,3791.19398749672
2011-02-08,4183.10990539305
2011-02-09,4115.85427393491
2011-02-10,3943.26723606357
2011-02-11,4220.99758476505
2011-02-12,4160.27971351079
2011-02-13,4185.88398931705
2011-02-14,4288.03984881038
2011-02-15,4374.18408485387
2011-02-16,3686.83553086172
2011-02-17,3217.69624420432
2011-02-18,3589.43683044658
2011-02-19,3590.88513155865
2011-02-20,3653.11905148382
2011-02-21,4037.41209919342
2011-02-22,3999.30358359039
2011-02-23,3522.07956990802
2011-02-24,3251.82639992614
2011-02-25,3361.48270514754
2011-02-26,3476.24402343034
2011-02-27,3502.31338711308
2011-02-28,4032.43598155245
